anio	hecho	violacion
1984	Privación ilegal de la libertad	10
1984	Tortura	13
1984	Violencia sexual	7
1984	Desaparición forzada	
1984	Atentado contra el derecho a la vida	
1984	Ejecución extrajudicial	1
1985	Privación ilegal de la libertad	32
1985	Tortura	40
1985	Violencia sexual	19
1985	Desaparición forzada	5
1985	Atentado contra el derecho a la vida	
1985	Ejecución extrajudicial	13
1986	Privación ilegal de la libertad	59
1986	Tortura	69
1986	Violencia sexual	20
1986	Desaparición forzada	1
1986	Atentado contra el derecho a la vida	1
1986	Ejecución extrajudicial	13
1987	Privación ilegal de la libertad	114
1987	Tortura	156
1987	Violencia sexual	19
1987	Desaparición forzada	
1987	Atentado contra el derecho a la vida	11
1987	Ejecución extrajudicial	4
1988	Privación ilegal de la libertad	5
1988	Tortura	7
1988	Violencia sexual	1
1988	Desaparición forzada	3
1988	Atentado contra el derecho a la vida	
1988	Ejecución extrajudicial	1
1989	Privación ilegal de la libertad	1
1989	Tortura	1
1989	Violencia sexual	1
1989	Desaparición forzada	
1989	Atentado contra el derecho a la vida	
1989	Ejecución extrajudicial	1
1990	Privación ilegal de la libertad	3
1990	Tortura	3
1990	Violencia sexual	2
1990	Desaparición forzada	1
1990	Atentado contra el derecho a la vida	
1990	Ejecución extrajudicial	2
1991	Privación ilegal de la libertad	
1991	Tortura	3
1991	Violencia sexual	
1991	Desaparición forzada	
1991	Atentado contra el derecho a la vida	
1991	Ejecución extrajudicial	3
1992	Privación ilegal de la libertad	2
1992	Tortura	6
1992	Violencia sexual	1
1992	Desaparición forzada	
1992	Atentado contra el derecho a la vida	1
1992	Ejecución extrajudicial	2
1993	Privación ilegal de la libertad	12
1993	Tortura	16
1993	Violencia sexual	6
1993	Desaparición forzada	
1993	Atentado contra el derecho a la vida	1
1993	Ejecución extrajudicial	3
1994	Privación ilegal de la libertad	1
1994	Tortura	1
1994	Violencia sexual	
1994	Desaparición forzada	
1994	Atentado contra el derecho a la vida	
1994	Ejecución extrajudicial	
1995	Privación ilegal de la libertad	1
1995	Tortura	1
1995	Violencia sexual	
1995	Desaparición forzada	1
1995	Atentado contra el derecho a la vida	
1995	Ejecución extrajudicial	
1996	Privación ilegal de la libertad	3
1996	Tortura	3
1996	Violencia sexual	
1996	Desaparición forzada	
1996	Atentado contra el derecho a la vida	
1996	Ejecución extrajudicial	
1997	Privación ilegal de la libertad	1
1997	Tortura	19
1997	Violencia sexual	
1997	Desaparición forzada	
1997	Atentado contra el derecho a la vida	
1997	Ejecución extrajudicial	1
1998	Privación ilegal de la libertad	3
1998	Tortura	3
1998	Violencia sexual	3
1998	Desaparición forzada	
1998	Atentado contra el derecho a la vida	
1998	Ejecución extrajudicial	2
1999	Privación ilegal de la libertad	7
1999	Tortura	3
1999	Violencia sexual	
1999	Desaparición forzada	
1999	Atentado contra el derecho a la vida	3
1999	Ejecución extrajudicial	1
2000	Privación ilegal de la libertad	2
2000	Tortura	2
2000	Violencia sexual	
2000	Desaparición forzada	2
2000	Atentado contra el derecho a la vida	1
2000	Ejecución extrajudicial	
2001	Privación ilegal de la libertad	6
2001	Tortura	5
2001	Violencia sexual	1
2001	Desaparición forzada	
2001	Atentado contra el derecho a la vida	
2001	Ejecución extrajudicial	4
2002	Privación ilegal de la libertad	1
2002	Tortura	3
2002	Violencia sexual	
2002	Desaparición forzada	
2002	Atentado contra el derecho a la vida	
2002	Ejecución extrajudicial	1
2003	Privación ilegal de la libertad	1
2003	Tortura	2
2003	Violencia sexual	1
2003	Desaparición forzada	3
2003	Atentado contra el derecho a la vida	
2003	Ejecución extrajudicial	8
2004	Privación ilegal de la libertad	
2004	Tortura	
2004	Violencia sexual	
2004	Desaparición forzada	1
2004	Atentado contra el derecho a la vida	
2004	Ejecución extrajudicial	
2005	Privación ilegal de la libertad	
2005	Tortura	
2005	Violencia sexual	
2005	Desaparición forzada	
2005	Atentado contra el derecho a la vida	3
2005	Ejecución extrajudicial	1
2006	Privación ilegal de la libertad	2
2006	Tortura	2
2006	Violencia sexual	1
2006	Desaparición forzada	
2006	Atentado contra el derecho a la vida	1
2006	Ejecución extrajudicial	1
2007	Privación ilegal de la libertad	3
2007	Tortura	4
2007	Violencia sexual	3
2007	Desaparición forzada	
2007	Atentado contra el derecho a la vida	4
2007	Ejecución extrajudicial	1
2008	Privación ilegal de la libertad	
2008	Tortura	3
2008	Violencia sexual	1
2008	Desaparición forzada	
2008	Atentado contra el derecho a la vida	
2008	Ejecución extrajudicial	5
